chrom	start	end	geneid	genename
chr1	1152288	1167447	SDF4	NM_016547
chr1	1167617	1170420	B3GALT6	NM_080605
chr1	1177833	1182102	C1QTNF12	NM_001014980
chr1	1189292	1209234	UBE2J2	NM_058167
chr1	1215816	1227409	SCNN1D	NR_037668
chr1	1227771	1243310	ACAP3	NM_030649
chr1	1231490	1231550	MIR6726	NR_106784
chr1	1240109	1240192	SNORD167	NR_145806
chr1	1243960	1247057	PUSL1	NM_001346116
chr1	1246965	1260067	INTS11	NM_001256460
chr1	1247882	1247946	MIR6727	NR_106785
chr1	1260182	1264276	CPTP	NM_001029885
chr1	1266660	1270694	TAS1R3	NM_152228
chr1	1270658	1284798	DVL1	NM_004421
chr1	1275030	1275088	MIR6808	NR_106866
chr1	1288069	1298921	MXRA8	NM_001282582
chr1	1309116	1310587	AURKAIP1	NM_017900
chr1	1321091	1334715	CCNL2	NM_030937
chr1	1334910	1337426	MRPL20-AS1	NR_015434
chr1	1337289	1342673	MRPL20	NM_001318485
chr1	1353800	1356824	ANKRD65	NM_001145210
chr1	1361508	1363167	TMEM88B	NM_001146685
chr1	1365537	1369953	LINC01770	NR_125994
chr1	1371070	1378262	VWA1	NM_022834
chr1	1385069	1405542	ATAD3C	NM_001039211
chr1	1407145	1433228	ATAD3B	NM_031921
chr1	1447542	1470065	ATAD3A	NM_001170535
chr1	1470158	1476004	TMEM240	NM_001114748
chr1	1477053	1510243	SSU72	NM_014188
chr1	1533392	1535515	FNDC10	NM_001242659
chr1	1534813	1542590	LOC105378586	NR_147951
chr1	1550795	1565990	MIB2	NM_001170688
chr1	1567552	1570030	MMP23B	NM_006983
chr1	1570603	1655769	CDK11B	NM_033490
chr1	1592939	1624234	SLC35E2B	NM_001110781
chr1	1631378	1633247	MMP23A	NR_002946_2
chr1	1633818	1655796	CDK11A	NM_033529
chr1	1656277	1677438	SLC35E2A	NM_001199787
chr1	1682671	1711470	NADK	NM_001198994
chr1	1716724	1822556	GNB1	NM_001282539
chr1	1846699	1848735	CALML6	NM_001330313
chr1	1849030	1850718	TMEM52	NM_178545
chr1	1853396	1935225	CFAP74	NM_001304360
chr1	1950784	1962197	GABRD	NM_000815
chr1	1980640	1981509	LOC105378591	NR_135509
chr1	1981850	2116834	PRKCZ	NM_002744
chr1	2113233	2115314	PRKCZ-AS1	NR_146290
chr1	2115899	2139172	FAAP20	NM_001146310
chr1	2159758	2241652	SKI	NM_003036
chr1	2252692	2322993	MORN1	NM_024848
chr1	2281854	2284100	LOC100129534	NR_024489
chr1	2323280	2336875	RER1	NM_007033
chr1	2335413	2345266	PEX10	NM_001374426
chr1	2398890	2436971	PLCH2	NM_001303012
chr1	2439976	2458035	PANK4	NM_018216
chr1	2460184	2461702	HES5	NM_001010926
chr1	2481359	2488450	TNFRSF14-AS1	NR_037844
chr1	2487804	2497061	TNFRSF14	NM_003820
chr1	2497974	2515973	LOC100996583	NR_121638
chr1	2517962	2522907	PRXL2B	NR_036637
chr1	2522079	2564455	MMEL1	NM_033467
chr1	2572708	2717433	TTC34	NM_001242672
chr1	2938031	2939467	ACTRT2	NM_080431
chr1	2976181	2984289	PRDM16-DT	NR_015440
chr1	2985767	3355185	PRDM16	NM_022114
chr1	3044539	3044599	MIR4251	NR_036215
chr1	3371229	3397677	ARHGEF16	NM_014448
chr1	3404515	3528072	MEGF6	NM_001409
chr1	3477260	3477354	MIR551A	NR_030277
chr1	3541579	3546691	TPRG1L	NM_182752
chr1	3547334	3566667	WRAP73	NM_017818
chr1	3569080	3652765	TP73	NM_005427
chr1	3652548	3663937	TP73-AS1	NR_033711
chr1	3669014	3688209	CCDC27	NM_152492
chr1	3689325	3692546	SMIM1	NM_001288583
chr1	3695123	3713062	LRRC47	NM_020710
chr1	3728651	3773775	CEP104	NM_014704
chr1	3773831	3801993	DFFB	NM_001282669
chr1	3805697	3816836	C1orf174	NM_207356
chr1	3816968	3832011	LINC01134	NR_024455
chr1	4000672	4012643	LINC01346	NR_040065
chr1	4007209	4009040	LINC01345	NR_147024
chr1	4472111	4484744	LINC01777	NR_027088
chr1	4631547	4643764	LINC01646	NR_147025
chr1	4714669	4852582	AJAP1	NM_018836
chr1	5922732	5922801	MIR4689	NR_039838
chr1	5922871	6052485	NPHP4	NM_001291594
chr1	6052736	6161240	KCNAB2	NM_001199861
chr1	6161847	6240381	CHD5	NM_015557
chr1	6245080	6259655	RPL22	NM_000983
chr1	6264900	6265840	LOC102724450	NR_125997
chr1	6266179	6281359	RNF207	NM_207396
chr1	6281253	6296024	ICMT	NM_012405
chr1	6296300	6299502	LINC00337	NR_103534
chr1	6304239	6305638	HES3	NM_001024598
chr1	6307413	6321158	GPR153	NM_207370
chr1	6324332	6453826	ACOT7	NM_007274
chr1	6475294	6479979	HES2	NM_019089
chr1	6484836	6521004	ESPN	NM_031475
chr1	6489894	6489956	MIR4252	NR_036218
chr1	6521214	6526255	TNFRSF25	NM_003790
chr1	6526152	6580121	PLEKHG5	NM_198681
chr1	6581407	6614573	NOL9	NM_024654
chr1	6615367	6639815	TAS1R1	NM_177540
chr1	6640054	6649340	ZBTB48	NM_001278648
chr1	6650784	6662929	KLHL21	NM_001324309
chr1	6673791	6684090	PHF13	NM_153812
chr1	6685210	6695646	THAP3	NM_138350
chr1	6694230	6761876	DNAJC11	NM_018198
chr1	6784805	6790072	LINC01672	NR_104620
chr1	6843952	6845040	CAMTA1-DT	NR_149049
chr1	6845514	7829766	CAMTA1	NM_001349610
chr1	7442548	7449814	CAMTA1-AS2	NR_146199
chr1	7831356	7841492	VAMP3	NM_004781
chr1	7844247	7905237	PER3	NM_001289864
chr1	7907672	7913551	UTS2	NM_021995
chr1	7975931	8000899	TNFRSF9	NM_001561
chr1	8021771	8045565	PARK7	NM_007262
chr1	8071787	8086369	ERRFI1	NM_018948
chr1	8268732	8275268	LINC01714	NR_125998
chr1	8378174	8404225	SLC45A1	NM_001080397
chr1	8412464	8877699	RERE	NM_012102
chr1	8484705	8495076	RERE-AS1	NR_125999
chr1	8554860	8554973	SNORD128	NR_132752
chr1	8921059	8938745	ENO1	NM_001201483
chr1	8926561	8926649	MIR6728	NR_106786
chr1	8938894	8939943	ENO1-AS1	NR_038351
chr1	9005927	9035148	CA6	NM_001215
chr1	9063359	9086404	SLC2A7	NM_207420
chr1	9095165	9132318	SLC2A5	NM_001328619
chr1	9160364	9189161	GPR157	NM_024980
chr1	9208070	9242397	MIR34AHG	NR_132742
chr1	9211727	9211836	MIR34A	NR_029610
chr1	9242263	9252144	LNCTAM34A	NR_132738
chr1	9294833	9331394	H6PD	NM_004285
chr1	9352953	9429590	SPSB1	NM_025106
chr1	9485153	9489055	LINC02606	NR_104622
chr1	9599524	9645231	SLC25A33	NM_032315
chr1	9648969	9674935	TMEM201	NM_001130924
chr1	9711789	9789172	PIK3CD	NM_005026
chr1	9712668	9714644	PIK3CD-AS1	NR_027045
chr1	9732484	9747632	PIK3CD-AS2	NR_126366
chr1	9789079	9884584	CLSTN1	NM_014944
chr1	9908334	9970327	CTNNBIP1	NM_020248
chr1	9982176	10003449	LZIC	NM_001316975
chr1	10002981	10045556	NMNAT1	NM_001297778
chr1	10010630	10020845	TMEM274P	NR_158969
chr1	10027439	10027516	MIR5697	NR_049882
chr1	10057286	10076079	RBP7	NM_052960
chr1	10093016	10241296	UBE4B	NM_001105562
chr1	10270628	10441661	KIF1B	NM_001365951
chr1	10459121	10480568	PGD	NM_001304452
chr1	10490490	10502865	CENPS	NM_199294
chr1	10490490	10512210	CENPS-CORT	NM_199006
chr1	10510088	10512055	CORT	NM_001302
chr1	10516579	10532586	DFFA	NM_004401
chr1	10535007	10690815	PEX14	NM_004565
chr1	10696666	10856703	CASZ1	NM_001079843
chr1	11006530	11042094	C1orf127	NM_001170754
chr1	11072679	11085549	TARDBP	NM_007375
chr1	11086580	11107296	MASP2	NM_006610
chr1	11114646	11120075	SRM	NM_003132
chr1	11126676	11159926	EXOSC10	NM_002685
chr1	11159732	11162162	EXOSC10-AS1	NR_135061
chr1	11166592	11322608	MTOR	NM_004958
chr1	11203955	11209595	MTOR-AS1	NR_046600
chr1	11249412	11256038	ANGPTL7	NM_021146
chr1	11333255	11359628	UBIAD1	NM_001330349
chr1	11539212	11597608	DISP3	NM_020780
chr1	11669588	11673411	LINC01647	NR_104624
chr1	11708444	11714486	FBXO2	NM_012168
chr1	11714464	11723384	FBXO44	NM_001304791
chr1	11724257	11734409	FBXO6	NM_018438
chr1	11734537	11751678	MAD2L2	NM_001127325
chr1	11751767	11785914	DRAXIN	NM_198545
chr1	11796142	11810828	AGTRAP	NM_001040197
chr1	11822250	11849642	C1orf167	NM_001010881
chr1	11837134	11839676	C1orf167-AS1	NR_126000
chr1	11845781	11866021	MTHFR	NM_005957
chr1	11866153	11903201	CLCN6	NR_046428
chr1	11900376	11907673	NPPA-AS1	NR_037806
chr1	11905766	11907840	NPPA	NM_006172
chr1	11917521	11919002	NPPB	NM_002521
chr1	11968211	11968329	RNU5E-1	NR_002754
chr1	11979648	11986484	KIAA2013	NM_138346
chr1	11994774	12035594	PLOD1	NM_000302
chr1	12040238	12073572	MFN2	NM_001127660
chr1	12079555	12092102	MIIP	NM_021933
chr1	12089215	12089279	MIR6729	NR_106787
chr1	12123360	12204264	TNFRSF8	NM_001243
chr1	12227000	12227095	MIR7846	NR_107000
chr1	12227048	12269277	TNFRSF1B	NM_001066
chr1	12251770	12251830	MIR4632	NR_039775
chr1	12290087	12572098	VPS13D	NM_015378
chr1	12567300	12567451	SNORA59A	NR_003025
chr1	12567300	12567451	SNORA59B	NR_003022
chr1	12627939	12678216	DHRS3	NM_004753
chr1	12638985	12639051	MIR6730	NR_106788
chr1	12704566	12727097	AADACL4	NM_001013630
chr1	12776113	12788727	AADACL3	NR_111984
chr1	12806148	12823847	C1orf158	NM_152290
chr1	12834991	12838048	PRAMEF12	NM_001080830
chr1	12851546	12856777	PRAMEF1	NM_023013
chr1	12882549	12883086	LINC01784	NR_146629
chr1	12884463	12891264	PRAMEF11	NM_001146344
chr1	12907230	12908157	HNRNPCL4	NM_001302551
chr1	12907230	12908235	HNRNPCL3	NM_001146181
chr1	12907230	12908609	HNRNPCL1	NM_001013631
chr1	12916941	12921764	PRAMEF2	NM_023014
chr1	12939033	12946025	PRAMEF4	NM_001009611
chr1	12976467	12980300	PRAMEF8	NM_001012276
chr1	12998302	13007406	PRAMEF6	NM_001010889
chr1	12998505	13002353	PRAMEF9	NM_001010890
chr1	13052240	13112702	PRAMEF25	NM_001310134
chr1	13052394	13112702	PRAMEF26	NM_001306072
chr1	13182960	13184326	HNRNPCL2	NM_001136561
chr1	13194518	13199727	PRAMEF34P	NR_111947_2
chr1	13194518	13199727	PRAMEF36P	NR_111945_2
chr1	13328196	13698405	PRAMEF18	NM_001099850_2
chr1	13328833	13477528	PRAMEF22	NM_001100631
chr1	13359819	13369057	PRAMEF5	NM_001013407_2
chr1	13421176	13428193	PRAMEF15	NM_001098376
chr1	13447414	13452656	PRAMEF13	NM_001291380
chr1	13447414	13452656	PRAMEF14	NM_001024661
chr1	13474053	13477569	PRAMEF19	NM_001099790
chr1	13495258	13498257	PRAMEF17	NM_001099851
chr1	13607700	13611533	PRAMEF7	NM_001012277
chr1	13629925	13635299	PRAMEF10	NM_001039361
chr1	13629932	13635299	PRAMEF33	NM_001291381
chr1	13644800	13648656	PRAMEF27	NM_001300891
chr1	13736907	13747803	PRAMEF20	NM_001099852_2
chr1	13801441	13840498	LRRC38	NM_001010847
chr1	13910252	13944452	PDPN	NM_006474
chr1	14026683	14151574	PRDM2	NM_001135610
chr1	14675450	14746469	KAZN-AS1	NR_149058
chr1	14925181	15444539	KAZN	NM_201628
chr1	15438311	15478960	TMEM51-AS1	NR_027136
chr1	15479028	15546974	TMEM51	NM_001136217
chr1	15490692	15498120	C1orf195	NM_001278502
chr1	15573721	15724623	FHAD1	NM_052929
chr1	15653176	15670379	FHAD1-AS1	NR_148919
chr1	15736384	15756835	EFHD2	NM_024329
chr1	15764939	15775737	CTRC	NM_007272
chr1	15783227	15798586	CELA2A	NM_033440
chr1	15802599	15817889	CELA2B	NM_015849
chr1	15817896	15851285	CASP9	NM_032996
chr1	15853308	15898228	DNAJC16	NM_001287811
chr1	15868661	15868799	SCARNA21B	NR_135613
chr1	15898194	15911546	AGMAT	NM_024758
chr1	15943953	15995539	DDI2	NM_032341
chr1	15986208	15988525	RSC1A1	NM_006511
chr1	16010815	16061264	PLEKHM2	NM_015164
chr1	16062753	16067887	SLC25A34	NM_207348
chr1	16066546	16076385	SLC25A34-AS1	NR_149050
chr1	16068994	16074477	TMEM82	NM_001013641
chr1	16083133	16113084	FBLIM1	NM_001350151
chr1	16133657	16134194	UQCRHL	NM_001089591
chr1	16160710	16174642	FLJ37453	NR_024279
chr1	16174202	16266951	SPEN	NM_015001
chr1	16268364	16302627	ZBTB17	NM_001324138
chr1	16330731	16335302	SRARP	NM_178840
chr1	16340523	16346089	HSPB7	NM_001349682
chr1	16348531	16360545	CLCNKA	NM_004070
chr1	16370277	16383803	CLCNKB	NM_000085
chr1	16384264	16400146	FAM131C	NM_182623
chr1	16450832	16482564	EPHA2	NM_004431
chr1	16524349	16539147	ARHGEF19	NM_153213
chr1	16558187	16563678	CPLANE2	NM_030907
chr1	16573335	16678975	FBXO42	NM_018994
chr1	16693737	16724640	SZRD1	NR_073500
chr1	16722176	16763919	SPATA21	NR_148413
chr1	16767167	16786584	NECAP2	NM_001145278
chr1	16787443	16794976	LINC01772	NR_147210
chr1	16793931	16819196	CROCCP3	NR_023386
chr1	16840617	16840780	RNU1-1	NR_004430
chr1	16840617	16840780	RNU1-2	NR_004427
chr1	16840617	16840780	RNU1-3	NR_004408
chr1	16840617	16840780	RNU1-4	NR_004421
chr1	16840617	16840780	RNVU1-18	NR_004400
chr1	16860386	16862147	LINC01783	NR_135764
chr1	16875409	16875482	MIR3675	NR_037446
chr1	16888818	16940059	NBPF1	NM_017940
chr1	16944751	16957401	CROCCP2	NR_026752
chr1	16972069	16976915	MST1P2	NR_027504
chr1	17017713	17046652	ESPNP	NR_026567
chr1	17081129	17090975	MST1L	NM_001271733
chr1	17083556	17086552	LOC102724562	NR_135824
chr1	17197440	17200587	LOC440570	NR_135765_2
chr1	17198721	17200591	LOC112267871	NR_160657
chr1	17215033	17216161	LOC105376805	NR_135058
chr1	17248426	17299455	CROCC	NM_014675
chr1	17300999	17308081	MFAP2	NM_001135247
chr1	17312453	17338423	ATP13A2	NM_001141974
chr1	17345221	17380527	SDHB	NM_003000
chr1	17393256	17445946	PADI2	NM_007365
chr1	17516284	17522882	LINC02783	NR_148993
chr1	17531623	17572502	PADI1	NM_013358
chr1	17575593	17610727	PADI3	NM_016233
chr1	17604384	17604470	MIR3972	NR_039768
chr1	17634692	17690499	PADI4	NM_012387
chr1	17698691	17728195	PADI6	NM_207421
chr1	17733256	17766173	RCC2	NM_018715
chr1	17866193	18024364	ARHGEF10L	NR_137287
chr1	18081828	18153558	ACTL8	NM_030812
chr1	18392151	18400905	LINC01654	NR_125946
chr1	18434292	18704977	IGSF21	NM_032880
chr1	18807424	18812480	KLHDC7A	NM_152375
chr1	18957340	19075360	PAX7	NM_001135254
chr1	19166093	19186155	TAS1R2	NM_152232
chr1	19197924	19229293	ALDH4A1	NM_001319218
chr1	19209696	19209769	MIR4695	NR_039844
chr1	19223565	19223642	MIR1290	NR_031622
chr1	19230774	19283170	IFFO2	NM_001136265
chr1	19401006	19536760	UBR4	NM_020765
chr1	19536880	19567198	EMC1-AS1	NR_135114
chr1	19542155	19578018	EMC1	NM_001271428
chr1	19578299	19586622	MRTO4	NM_016183
chr1	19592476	19600616	AKR7L	NR_040288
chr1	19609067	19615264	AKR7A3	NM_012067
chr1	19619741	19622230	LOC100506730	NR_037847
chr1	19629202	19638640	AKR7A2	NM_003689
chr1	19638820	19658922	SLC66A1	NR_109848
chr1	19665269	19812033	CAPZB	NM_001206540
chr1	19918296	19923326	LOC105378614	NR_135054
chr1	19923471	19956315	MICOS10	NM_001204082
chr1	19923473	19984945	MICOS10-NBL1	NM_001204089
chr1	19934301	19935138	RPS14P3	NR_077246
chr1	19969723	19984949	NBL1	NM_182744
chr1	19991368	20007459	HTR6	NM_000871
chr1	20008706	20126409	TMCO4	NM_001349112
chr1	20140522	20141776	RNF186	NM_019062
chr1	20208888	20239437	OTUD3	NM_015207
chr1	20246502	20250110	PLA2G2E	NM_014589
chr1	20301928	20306927	PLA2G2A	NM_001161728
chr1	20396687	20418404	PLA2G5	NM_000929
chr1	20438434	20446029	PLA2G2D	NM_012400
chr1	20465816	20476874	PLA2G2F	NM_001360869
chr1	20489548	20503932	PLA2G2C	NM_001367969
chr1	20510736	20512979	UBXN10-AS1	NR_110078
chr1	20512589	20522543	UBXN10	NM_152376
chr1	20569588	20571147	LINC01757	NR_147205
chr1	20617368	20686011	VWA5B1	NM_001039500
chr1	20686294	20755287	LINC01141	NR_033887
chr1	20808884	20812703	CAMK2N1	NM_018584
chr1	20825941	20834644	MUL1	NM_024544
chr1	20879066	20881513	FAM43B	NM_207334
chr1	20915590	20945396	CDA	NM_001785
chr1	20959951	20978004	PINK1	NM_032409
chr1	20960172	20960281	MIR6084	NR_106732
chr1	20969150	20978686	PINK1-AS	NR_046507
chr1	20978271	20987862	DDOST	NM_005216
chr1	20990507	21044500	KIF17	NM_001287212
chr1	21046224	21059196	SH2D5	NM_001103160
chr1	21066759	21113800	HP1BP3	NM_001372052
chr1	21132785	21503390	EIF4G3	NM_001198802
chr1	21314807	21314925	MIR1256	NR_031657
chr1	21543743	21671997	ECE1	NM_001113348
chr1	21619783	21626362	ECE1-AS1	NR_038404
chr1	21766630	21811498	NBPF3	NM_032264
chr1	21835477	21904903	ALPL	NM_001369805
chr1	21922714	21995850	RAP1GAP	NM_001350528
chr1	22004791	22109642	USP48	NM_001350164
chr1	22138758	22151716	LDLRAD2	NM_001013693
chr1	22148737	22263803	HSPG2	NM_001291860
chr1	22303515	22315847	CELA3B	NM_007352
chr1	22328150	22339035	CELA3A	NM_005747
chr1	22350487	22352541	LINC01635	NR_110692
chr1	22351684	22357717	LINC00339	NR_023918
chr1	22379202	22427853	CDC42	NM_001039802
chr1	22443806	22469590	WNT4	NM_030761
chr1	22592732	22592793	MIR4418	NR_039613
chr1	22778344	22857650	ZBTB40	NM_001330398
chr1	22889982	22930088	EPHA8	NM_020526
chr1	22959751	22959859	MIR6127	NR_106742
chr1	22963121	22966171	C1QA	NM_001347465
chr1	22970126	22974601	C1QC	NM_001347620
chr1	22979729	22988129	C1QB	NM_000491
chr1	23037331	23247993	EPHB2	NM_004442
chr1	23046010	23046091	MIR4684	NR_039832
chr1	23189652	23189719	MIR4253	NR_036214
chr1	23279536	23299359	LACTBL1	NM_001289974
chr1	23337327	23342345	TEX46	NM_001242521
chr1	23345961	23410182	KDM1A	NM_015013
chr1	23370798	23370865	MIR3115	NR_036057
chr1	23410516	23495351	LUZP1	NM_001142546
chr1	23518388	23521222	HTR1D	NM_000864
chr1	23607802	23612011	LINC01355	NR_110616
chr1	23631181	23670777	HNRNPR	NM_001297622
chr1	23685941	23696329	ZNF436	NM_001077195
chr1	23695464	23698330	ZNF436-AS1	NR_033690
chr1	23707402	23751241	TCEA3	NM_003196
chr1	23755056	23810672	ASAP3	NM_017707
chr1	23832930	23857725	E2F2	NM_004091
chr1	23848422	23854911	LOC101928163	NR_110799
chr1	23884417	23885992	ID3	NM_002167
chr1	23953824	23967058	MDS2	NM_001348075
chr1	24018296	24023325	RPL11	NM_000975
chr1	24069856	24088549	ELOA	NM_003198
chr1	24086872	24104787	ELOA-AS1	NR_038280
chr1	24104908	24114722	PITHD1	NM_020362
chr1	24117635	24122029	LYPLA2	NM_007260
chr1	24122089	24127244	GALE	NM_001008216
chr1	24128367	24151949	HMGCL	NM_001166059
chr1	24171571	24194859	FUCA1	NM_000147
chr1	24197006	24239852	CNR2	NM_001841
chr1	24255560	24255637	MIR378F	NR_039615
chr1	24286318	24289949	PNRC2	NM_017761
chr1	24290837	24306817	SRSF10	NM_054016_2
chr1	24382531	24438625	MYOM3	NM_152372
chr1	24446261	24469630	IL22RA1	NM_021258
chr1	24480662	24513779	IFNLR1	NM_173065
chr1	24526730	24538180	LINC02800	NR_027087
chr1	24645847	24690970	GRHL3	NM_198174
chr1	24683489	24741587	STPG1	NM_001199012
chr1	24739977	24799473	NIPAL3	NM_001322854
chr1	24822744	24828872	RCAN3AS	NR_045407
chr1	24828834	24867530	RCAN3	NM_001251979
chr1	24865764	24882515	NCMAP-DT	NR_109781
chr1	24882578	24935818	NCMAP	NM_001010980
chr1	24969793	24999772	SRRM1	NM_001366571
chr1	25071938	25170810	CLIC4	NM_013943
chr1	25226002	25291501	RUNX3	NM_001320672
chr1	25245836	25245907	MIR6731	NR_106789
chr1	25349994	25350077	MIR4425	NR_039623
chr1	25548767	25558993	SYF2	NM_015484
chr1	25568728	25664745	RSRP1	NM_001321772
chr1	25598977	25656936	RHD	NM_001282867
chr1	25664825	25688852	TMEM50A	NM_014313
chr1	25688740	25747405	RHCE	NM_020485
chr1	25757349	25826698	MACO1	NM_001282564
chr1	25870097	25895377	LDLRAP1	NM_015627
chr1	25943959	26112698	MAN1C1	NM_001289010
chr1	26126684	26144712	SELENON	NM_206926
chr1	26146397	26159433	MTFR1L	NM_001099627
chr1	26146445	26150097	LOC646471	NR_024498
chr1	26158404	26185949	AUNIP	NM_001287490
chr1	26187975	26197744	PAQR7	NM_178422
chr1	26210670	26232910	STMN1	NM_001145454
chr1	26232853	26232945	MIR3917	NR_037481
chr1	26286258	26324554	PAFAH2	NM_000437
chr1	26348266	26362954	EXTL1	NM_004455
chr1	26363743	26372609	SLC30A2	NM_032513
chr1	26377796	26394125	TRIM63	NM_032588
chr1	26437656	26452039	PDIK1L	NM_001243532
chr1	26485570	26490453	FAM110D	NM_024869
chr1	26490652	26495073	C1orf232	NM_001364669
chr1	26496399	26497364	ZNF593	NM_015871
chr1	26503982	26516375	CNKSR1	NM_001297648
chr1	26517119	26529033	CATSPER4	NM_198137
chr1	26551811	26556331	ZPLD2P	NR_110698
chr1	26560691	26605299	CEP85	NM_001319944
chr1	26606577	26608013	SH3BGRL3	NM_031286
chr1	26608773	26644756	UBXN11	NM_145345
chr1	26644449	26647014	CD52	NM_001803
chr1	26648350	26680621	CRYBG2	NM_001039775
chr1	26688125	26699285	ZNF683	NM_001307925
chr1	26737308	26756219	LIN28A	NM_024674
chr1	26758773	26797795	DHDDS	NM_001319959
chr1	26789248	26794028	DHDDS-AS1	NR_125952
chr1	26798931	26803133	HMGN2	NM_005517
chr1	26856252	26901516	RPS6KA1	NM_002953
chr1	26881033	26881084	MIR1976	NR_031740
chr1	27018401	27020622	LOC101928728	NR_135804
chr1	27022506	27108595	ARID1A	NM_139135
chr1	27113545	27127150	PIGV	NM_001374478
chr1	27153179	27184095	ZDHHC18	NM_032283
chr1	27189640	27190947	SFN	NM_006142
chr1	27202623	27216774	GPN2	NM_018066
chr1	27216979	27226958	GPATCH3	NM_022078
chr1	27237980	27240466	NR0B2	NM_021969
chr1	27248234	27273362	NUDC	NM_006600
chr1	27276053	27286959	KDF1	NM_152365
chr1	27320183	27327377	TRNP1	NM_001013642
chr1	27331511	27339341	TENT5B	NM_052943
chr1	27425300	27481616	SLC9A1	NR_046474
chr1	27561123	27635127	WDTC1	NM_015023
chr1	27648636	27662891	TMEM222	NM_032125
chr1	27650365	27653016	ACTG1P20	NR_033926
chr1	27668513	27680423	SYTL1	NM_001193308
chr1	27681675	27693452	MAP3K6	NM_004672
chr1	27695601	27701343	FCN3	NM_173452
chr1	27705666	27709823	CD164L2	NM_207397
chr1	27719126	27722317	GPR3	NM_005281
chr1	27730734	27816678	WASF2	NM_001201404
chr1	27860756	27930655	AHDC1	NM_001371928
chr1	27938575	27961696	FGR	NM_005248
chr1	27986839	27989233	LINC02574	NR_151722
chr1	27992575	27998703	IFI6	NM_002038
chr1	28052472	28089627	FAM76A	NM_001143915
chr1	28099730	28150954	STX12	NM_177424
chr1	28157293	28178186	PPP1R8	NM_014110
chr1	28160912	28161077	SCARNA1	NR_002997
chr1	28199054	28213196	THEMIS2	NM_004848
chr1	28218036	28241308	RPA2	NM_001355129
chr1	28261511	28285663	SMPDL3B	NM_014474
chr1	28286484	28294604	XKR8	NM_018053
chr1	28296855	28415148	EYA3	NM_001282561
chr1	28473677	28520447	PTAFR	NM_001164721
chr1	28526790	28559540	DNAJC8	NR_159454
chr1	28562602	28564616	ATP5IF1	NM_178191
chr1	28586029	28609002	SESN2	NM_031459
chr1	28655551	28662476	MED18	NM_001127350
chr1	28696251	28826876	PHACTR4	NM_001350158
chr1	28832455	28837404	SNHG3	NR_036473
chr1	28832455	28865708	RCC1	NM_001048199
chr1	28833877	28834083	SNORA73A	NR_002907
chr1	28835070	28835274	SNORA73B	NR_004404
chr1	28879529	28905057	TRNAU1AP	NR_003109
chr1	28905050	28909495	SNHG12	NR_146382
chr1	28905255	28905334	SNORD99	NR_003077
chr1	28906276	28906405	SNORA61	NR_002987
chr1	28906893	28907024	SNORA44	NR_002976
chr1	28907432	28907565	SNORA16A	NR_003035
chr1	28918777	28921961	RAB42	NM_152304
chr1	28929362	28969579	TAF12	NM_005644
chr1	28969768	28975311	LINC01715	NR_146730
chr1	28975112	28975246	RNU11	NR_004407
chr1	28995296	29045864	GMEB1	NM_006582
chr1	29063133	29096287	YTHDF2	NM_001173128
chr1	29138682	29197779	OPRD1	NM_000911
