Hugo_Symbol	Chromosome	arm
ABHD17AP9	16p11.2	16p
ABHD17B	9q21.13	9q
ABHD17C	15q25.1	15q
ABHD18	4q28.2	4q
ABI1	10p12.1	10p
ABI1P1	14q22.3	14q
ABI2	2q33.2	2q
ABI3	17q21.32	17q
ABI3BP	3q12.2	3q
ABITRAM	9q31.3	9q
ABITRAMP1	13q14.13	13q
ABL1	9q34.12	9q
ABL2	1q25.2	1q
ABLIM1	10q25.3	10q
ABLIM2	4p16.1	4p
ABLIM3	5q32	5q
ABO	9q34.2	9q
ABR	17p13.3	17p
ABRA	8q23.1	8q
ABRACL	6q24.1	6q
ABRAXAS1	4q21.23	4q
ABRAXAS2	10q26.13	10q
ABT1	6p22.2	6p
ABT1P1	4q23	4q
ABTB1	3q21.3	3q
ABTB2	11p13	11p
ACAA1	3p22.2	3p
ACAA2	18q21.1	18q
ACACA	17q12	17q
ACACB	12q24.11	12q
ACAD8	11q25	11q
ACAD9	3q21.3	3q
ACAD10	12q24.12	12q
ACAD11	3q22.1	3q
ACADL	2q34	2q
ACADM	1p31.1	1p
ACADS	12q24.31	12q
ACADSB	10q26.13	10q
ACADVL	17p13.1	17p
ACAN	15q26.1	15q
ACAP1	17p13.1	17p
ACAP2	3q29	3q
ACAP2-IT1	3q29	3q
ACAP3	1p36.33	1p
ACAT1	11q22.3	11q
ACAT2	6q25.3	6q
ACBD3	1q42.12	1q
ACBD3-AS1	1q42.12	1q
ACBD4	17q21.31	17q
ACBD5	10p12.1	10p
ACBD6	1q25.2-q25.3	1q
ACBD7	10p13	10p
ACCPN	15q13-q15	15q
ACCS	11p11.2	11p
ACCSL	11p11.2	11p
ACD	16q22.1	16q
ACE	17q23.3	17q
ACE3P	17q23.3	17q
ACER1	19p13.3	19p
ACER2	9p22.1	9p
ACER2P1	2q33.3	2q
ACER3	11q13.5	11q
ACHE	7q22.1	7q
ACHM3	8q22.1-q22.2	8q
ACIN1	14q11.2	14q
ACKR1	1q23.2	1q
ACKR2	3p22.1	3p
ACKR3	2q37.3	2q
ACKR4	3q22.1	3q
ACKR4P1	6q24.1	6q
ACLS	12p13.3-p11.2	12p
ACLY	17q21.2	17q
ACMSD	2q21.3	2q
ACNATP	9q31.1	9q
ACO1	9p21.1	9p
ACO2	22q13.2	22q
ACOD1	13q22.3	13q
ACOT1	14q24.3	14q
ACOT2	14q24.3	14q
ACOT4	14q24.3	14q
ACOT6	14q24.3	14q
ACOT7	1p36.31	1p
ACOT8	20q13.12	20q
ACOT11	1p32.3	1p
ACOT12	5q14.1	5q
ACOT13	6p22.3	6p
ACOX1	17q25.1	17q
ACOX2	3p14.3	3p
ACOX3	4p16.1	4p
ACOXL	2q13	2q
ACOXL-AS1	2q13	2q
ACP1	2p25.3	2p
ACP2	11p11.2	11p
ACP3	3q22.1	3q
ACP4	19q13.33	19q
ACP5	19p13.2	19p
ACP6	1q21.2	1q
ACP7	19q13.2	19q
ACR	22q13.33	22q
ACRBP	12p13.31	12p
ACRP1	2q14.1	2q
ACRV1	11q24.2	11q
ACSBG1	15q25.1	15q
ACSBG2	19p13.3	19p
ACSF2	17q21.33	17q
ACSF3	16q24.3	16q
ACSL1	4q35.1	4q
ACSL3	2q36.1	2q
ACSL3-AS1	2q36.1	2q
ACSL5	10q25.2	10q
ACSL6	5q31.1	5q
ACSL6-AS1	5q31.1	5q
ACSM1	16p12.3	16p
ACSM2A	16p12.3	16p
ACSM2B	16p12.3	16p
ACSM3	16p12.3	16p
ACSM4	12p13.31	12p
ACSM5	16p12.3	16p
ACSM5P1	16p12.3	16p
ACSM6	10q23.33	10q
ACSS1	20p11.21	20p
ACSS2	20q11.22	20q
ACSS3	12q21.31	12q
ACTA1	1q42.13	1q
ACTA2	10q23.31	10q
ACTA2-AS1	10q23.31	10q
ACTB	7p22.1	7p
ACTBL2	5q11.2	5q
ACTBP2	5q14.1	5q
ACTBP3	18q21.33	18q
ACTBP4	5q31.1	5q
ACTBP5	7q36.1	7q
ACTBP6	8q21.2	8q
ACTBP7	15q15.3	15q
ACTBP8	6q15	6q
ACTBP9	18q21.33	18q
ACTBP10	14q11.2	14q
ACTBP11	1q41	1q
ACTBP12	1p22.1	1p
ACTBP13	3p21.31	3p
ACTBP14	10q22.1	10q
ACTBP15	22q13.2	22q
ACTC1	15q14	15q
ACTE1P	11q13.4	11q
ACTG1	17q25.3	17q
ACTG1P1	3q23	3q
ACTG1P3	20p13	20p
ACTG1P4	1p21.1	1p
ACTG1P6	1p21	1p
ACTG1P7	1p21	1p
ACTG1P8	1p21	1p
ACTG1P9	6p12.3	6p
ACTG1P12	3p25.2	3p
ACTG1P13	3q12.1	3q
ACTG1P14	9p24.1	9p
ACTG1P15	15q14	15q
ACTG1P16	16q12.1	16q
ACTG1P17	15q25.2	15q
ACTG1P18	6q16.3	6q
ACTG1P19	9q31.1	9q
ACTG1P20	1p36.11	1p
ACTG1P21	1p31.1	1p
ACTG1P22	2p16.1	2p
ACTG1P23	3q26.31	3q
ACTG1P24	17p11.2	17p
ACTG1P25	1q32.1	1q
ACTG2	2p13.1	2p
ACTL4	3pter-q21	3p
ACTL5	21q22.3	21q
ACTL6A	3q26.33	3q
ACTL6B	7q22.1	7q
ACTL7A	9q31.3	9q
ACTL7B	9q31.3	9q
ACTL8	1p36.13	1p
ACTL9	19p13.2	19p
ACTL10	20q11.22	20q
ACTN1	14q24.1	14q
ACTN1-AS1	14q24.1	14q
ACTN2	1q43	1q
ACTN3	11q13.2	11q
ACTN4	19q13.2	19q
ACTN4P1	4q26	4q
ACTN4P2	1p34.3	1p
ACTP1	2q12.3	2q
ACTR1A	10q24.32	10q
ACTR1AP1	2q13	2q
ACTR1B	2q11.2	2q
ACTR2	2p14	2p
ACTR3	2q14.1	2q
ACTR3-AS1	2q14.1	2q
ACTR3B	7q36.1-q36.2	7q
ACTR3BP2	2p11.1	2p
ACTR3BP3	16p11.2	16p
ACTR3BP4	4q24	4q
ACTR3BP5	10p11.1	10p
ACTR3BP6	22q11.1	22q
ACTR3BP7	22p11.2	22p
ACTR3C	7q36.1	7q
ACTR3P1	14q11.2	14q
ACTR3P3	3q12.2	3q
ACTR5	20q11.23	20q
ACTR6	12q23.1	12q
ACTR6P1	4q25	4q
ACTR8	3p21.1	3p
ACTR10	14q23.1	14q
ACTRT2	1p36.32	1p
ACTRT3	3q26.2	3q
ACVR1	2q24.1	2q
ACVR1B	12q13.13	12q
ACVR1C	2q24.1	2q
ACVR2A	2q22.3-q23.1	2q
ACVR2B	3p22.2	3p
ACVR2B-AS1	3p22.2	3p
ACVRL1	12q13.13	12q
ACY1	3p21.2	3p
ACY1L	18q22.1	18q
ACY3	11q13.2	11q
ACYP1	14q24.3	14q
ACYP2	2p16.2	2p
AD5	12p11.23-q13.12	12p
ADA	20q13.12	20q
ADA2	22q11.1	22q
ADAD1	4q27	4q
ADAD1P1	3p22.2	3p
ADAD1P2	18q21.1	18q
ADAD2	16q24.1	16q
ADAL	15q15.3	15q
ADAM1A	12q24.12-q24.13	12q
ADAM1B	12q24.13	12q
ADAM2	8p11.22	8p
ADAM3A	8p11.22	8p
ADAM3B	16q12.1	16q
ADAM5	8p11.22	8p
ADAM6	14q32.33	14q
ADAM7	8p21.2	8p
ADAM8	10q26.3	10q
ADAM9	8p11.22	8p
ADAM10	15q21.3	15q
ADAM11	17q21.31	17q
ADAM12	10q26.2	10q
ADAM12-OT1	10q26.2	10q
ADAM15	1q21.3	1q
ADAM17	2p25.1	2p
ADAM18	8p11.22	8p
ADAM19	5q33.3	5q
ADAM20	14q24.2	14q
ADAM20P1	14q24.2	14q
ADAM20P2	4q34.2	4q
ADAM20P3	4q35.2	4q
ADAM21	14q24.2	14q
ADAM21P1	14q24.2	14q
ADAM22	7q21.12	7q
ADAM23	2q33.3	2q
ADAM24P	8p22	8p
ADAM28	8p21.2	8p
ADAM29	4q34.1	4q
ADAM30	1p12	1p
ADAM32	8p11.22	8p
ADAM33	20p13	20p
ADAMDEC1	8p21.2	8p
ADAMTS1	21q21.3	21q
ADAMTS2	5q35.3	5q
ADAMTS3	4q13.3	4q
ADAMTS4	1q23.3	1q
ADAMTS5	21q21.3	21q
ADAMTS6	5q12.3	5q
ADAMTS7	15q25.1	15q
ADAMTS7P1	15q25.2	15q
ADAMTS7P2	15q25.2	15q
ADAMTS7P3	15q24.3	15q
ADAMTS7P4	15q25.3	15q
ADAMTS8	11q24.3	11q
ADAMTS9	3p14.1	3p
ADAMTS9-AS1	3p14.1	3p
ADAMTS9-AS2	3p14.1	3p
ADAMTS10	19p13.2	19p
ADAMTS12	5p13.3-p13.2	5p
ADAMTS13	9q34.2	9q
ADAMTS14	10q22.1	10q
ADAMTS15	11q24.3	11q
ADAMTS16	5p15.32	5p
ADAMTS17	15q26.3	15q
ADAMTS18	16q23.1	16q
ADAMTS19	5q23.3	5q
ADAMTS19-AS1	5q23.3	5q
ADAMTS20	12q12	12q
ADAMTSL1	9p22.2-p22.1	9p
ADAMTSL2	9q34.2	9q
ADAMTSL3	15q25.2	15q
ADAMTSL4	1q21.2	1q
ADAMTSL4-AS1	1q21.2	1q
ADAMTSL4-AS2	1q21.2	1q
ADAMTSL5	19p13.3	19p
ADAP1	7p22.3	7p
ADAP2	17q11.2	17q
ADAR	1q21.3	1q
ADARB1	21q22.3	21q
ADARB2	10p15.3	10p
ADARB2-AS1	10p15.3	10p
ADAT1	16q23.1	16q
ADAT2	6q24.2	6q
ADAT3	19p13.3	19p
ADCK1	14q24.3	14q
ADCK2	7q34	7q
ADCK5	8q24.3	8q
ADCY1	7p12.3	7p
ADCY2	5p15.31	5p
ADCY3	2p23.3	2p
ADCY4	14q12	14q
ADCY5	3q21.1	3q
ADCY6	12q13.12	12q
ADCY6-DT	12q13.12	12q
ADCY7	16q12.1	16q
ADCY8	8q24.22	8q
ADCY9	16p13.3	16p
ADCY10	1q24.2	1q
ADCY10P1	6p21.1	6p
ADCYAP1	18p11.32	18p
ADCYAP1R1	7p14.3	7p
ADD1	4p16.3	4p
ADD2	2p13.3	2p
ADD3	10q25.1-q25.2	10q
ADD3-AS1	10q25.1	10q
ADGB	6q24.3	6q
ADGRA1	10q26.3	10q
ADGRA1-AS1	10q26.3	10q
ADGRA2	8p11.23	8p
ADGRA3	4p15.2	4p
ADGRB1	8q24.3	8q
ADGRB2	1p35.2	1p
ADGRB3	6q12-q13	6q
ADGRD1	12q24.33	12q
ADGRD1-AS1	12q24.33	12q
ADGRD2	9q33.3	9q
ADGRE1	19p13.3-p13.2	19p
ADGRE2	19p13.12	19p
ADGRE3	19p13.12	19p
ADGRE4P	19p13.2	19p
ADGRE5	19p13.12	19p
ADGRF1	6p12.3	6p
ADGRF2	6p12.3	6p
ADGRF3	2p23.3	2p
ADGRF4	6p12.3	6p
ADGRF5	6p12.3	6p
ADGRF5-AS1	6p12.3	6p
ADGRF5P1	9q13	9q
ADGRF5P2	9p11.1	9p
ADGRG1	16q21	16q
ADGRG3	16q21	16q
ADGRG5	16q21	16q
ADGRG6	6q24.2	6q
ADGRG7	3q12.2	3q
ADGRL1	19p13.12	19p
ADGRL2	1p31.1	1p
ADGRL3	4q13.1	4q
ADGRL3-AS1	4q13.1	4q
ADGRL4	1p31.1	1p
ADGRV1	5q14.3	5q
ADH1A	4q23	4q
ADH1B	4q23	4q
ADH1C	4q23	4q
ADH4	4q23	4q
ADH5	4q23	4q
ADH5P1	4q21-q23	4q
ADH5P2	1p31.1	1p
ADH5P3	1q43	1q
ADH5P4	6q12	6q
ADH5P5	5p14.2	5p
ADH6	4q23	4q
ADH7	4q23	4q
ADHFE1	8q13.1	8q
ADI1	2p25.3	2p
ADI1P1	20q12	20q
ADI1P2	8q22.3	8q
ADI1P3	12q13.11	12q
ADIG	20q11.23	20q
ADIPOQ	3q27.3	3q
ADIPOQ-AS1	3q27.3	3q
ADIPOR1	1q32.1	1q
ADIPOR1P1	10p12.31	10p
ADIPOR1P2	14q32.13	14q
ADIPOR2	12p13.33	12p
ADIR	1q25-q31	1q
ADIRF	10q23.2	10q
ADIRF-AS1	10q23.2	10q
ADK	10q22.2	10q
ADM	11p15.4	11p
ADM2	22q13.33	22q
ADM5	19q13.33	19q
ADNP	20q13.13	20q
ADNP-AS1	20q13.13	20q
ADNP2	18q23	18q
ADO	10q21.3	10q
ADORA1	1q32.1	1q
ADORA2A	22q11.23	22q
ADORA2A-AS1	22q11.23	22q
ADORA2B	17p12	17p
ADORA2BP1	1q32.2	1q
ADORA3	1p13.2	1p
ADPGK	15q24.1	15q
ADPGK-AS1	15q24.1	15q
ADPRH	3q13.33	3q
ADPRHL1	13q34	13q
ADPRM	17p13.1	17p
ADPRS	1p34.3	1p
ADRA1A	8p21.2	8p
ADRA1B	5q33.3	5q
ADRA1D	20p13	20p
ADRA2A	10q25.2	10q
ADRA2B	2q11.2	2q
ADRA2C	4p16.3	4p
ADRB1	10q25.3	10q
ADRB2	5q32	5q
ADRB3	8p11.23	8p
ADRM1	20q13.33	20q
ADSL	22q13.1	22q
ADSS1	14q32.33	14q
ADSS2	1q44	1q
ADTRP	6p24.1	6p
AEBP1	7p13	7p
AEBP2	12p12.3	12p
AEN	15q26.1	15q
AFAP1	4p16.1	4p
AFAP1-AS1	4p16.1	4p
AFAP1L1	5q32	5q
AFAP1L2	10q25.3	10q
AFD1	9q32	9q
AFDN	6q27	6q
AFDN-DT	6q27	6q
AFF1	4q21.3-q22.1	4q
AFF1-AS1	4q21.3	4q
AFF3	2q11.2	2q
AFF4	5q31.1	5q
AFG1L	6q21	6q
AFG3L1P	16q24.3	16q
AFG3L2	18p11.21	18p
AFG3L2P1	8p11.1	8p
AFM	4q13.3	4q
AFMID	17q25.3	17q
AFP	4q13.3	4q
AFTPH	2p14	2p
AGA	4q34.3	4q
AGAP1	2q37.2	2q
AGAP1-IT1	2q37.2	2q
AGAP2	12q14.1	12q
AGAP2-AS1	12q14.1	12q
AGAP3	7q36.1	7q
AGAP4	10q11.22	10q
AGAP5	10q22.2	10q
AGAP6	10q11.23	10q
AGAP7P	10q11.22	10q
AGAP8	10q11.23	10q
AGAP9	10q11.22	10q
AGAP10	10q11.22	10q
AGAP10P	10q11.22	10q
AGAP11	10q23.2	10q
AGAP12P	10q11.22	10q
AGAP13P	10q11.22	10q
AGAP14P	10q11.22	10q
AGBL1	15q25.3	15q
AGBL1-AS1	15q25.3	15q
AGBL2	11p11.2	11p
AGBL3	7q33	7q
AGBL4	1p33	1p
AGBL4-AS1	1p33	1p
AGBL4-IT1	1p33	1p
AGBL5	2p23.3	2p
AGBL5-AS1	2p23.3	2p
AGBL5-IT1	2p23.3	2p
AGER	6p21.32	6p
AGFG1	2q36.3	2q
AGFG2	7q22.1	7q
AGGF1	5q13.3	5q
AGGF1P1	4q35.2	4q
AGGF1P2	10q26.3	10q
AGGF1P3	3p12.3	3p
AGGF1P4	16p11.1	16p
AGGF1P5	16p11.1	16p
AGGF1P6	16p11.1	16p
AGGF1P7	16p11.1	16p
AGGF1P8	16p11.2	16p
AGGF1P9	16p11.1	16p
AGGF1P10	20q11.1	20q
AGK	7q34	7q
AGL	1p21.2	1p
AGMAT	1p36.21	1p
AGMO	7p21.2	7p
AGO1	1p34.3	1p
AGO2	8q24.3	8q
AGO3	1p34.3	1p
AGO4	1p34.3	1p
AGPAT1	6p21.32	6p
AGPAT2	9q34.3	9q
AGPAT3	21q22.3	21q
AGPAT4	6q26	6q
AGPAT4-IT1	6q26	6q
AGPAT5	8p23.1	8p
AGPS	2q31.2	2q
AGR2	7p21.1	7p
AGR3	7p21.1	7p
AGRN	1p36.33	1p
AGRP	16q22.1	16q
AGS1	3p21	3p
AGS2	13q14-q21	13q
AGT	1q42.2	1q
AGTPBP1	9q21.33	9q
AGTR1	3q24	3q
AGTRAP	1p36.22	1p
AGXT	2q37.3	2q
AGXT2	5p13.2	5p
AHCTF1	1q44	1q
AHCTF1P1	2q24.2	2q
AHCY	20q11.22	20q
AHCYL1	1p13.3	1p
AHCYL2	7q32.1	7q
AHCYP1	10q11.22	10q
AHCYP2	9q33.2	9q
AHCYP3	2q12.1	2q
AHCYP4	2q22.1	2q
AHCYP5	2q32.3	2q
AHCYP6	11q14.1	11q
AHCYP7	15q21.2	15q
AHCYP8	1q44	1q
AHDC1	1p36.11-p35.3	1p
AHI1	6q23.3	6q
AHNAK	11q12.3	11q
AHNAK2	14q32.33	14q
AHR	7p21.1	7p
AHRR	5p15.33	5p
AHSA1	14q24.3	14q
AHSA2P	2p15	2p
AHSG	3q27.3	3q
AHSP	16p11.2	16p
AICDA	12p13.31	12p
AIDA	1q41	1q
AIDAP1	2p25.1	2p
AIDAP2	4q32.1	4q
AIDAP3	18p11.32	18p
AIF1	6p21.33	6p
AIF1L	9q34.12-q34.13	9q
AIFM1P1	10p12.31	10p
AIFM2	10q22.1	10q
AIFM3	22q11.21	22q
AIG1	6q24.2	6q
AIG1P1	5p13.1	5p
AIH2	4q13.3-q21.2	4q
AIM2	1q23.1-q23.2	1q
AIMP1	4q24	4q
AIMP1P1	20p12.1	20p
AIMP1P2	1q24.3	1q
AIMP2	7p22.1	7p
AIP	11q13.2	11q
AIPL1	17p13.2	17p
AIRE	21q22.3	21q
AIRN	6q25.3	6q
AIS1	1p33-p31	1p
AIS2	7q11.22	7q
AJAP1	1p36.32	1p
AJM1	9q34.3	9q
AJUBA	14q11.2	14q
AK1	9q34.11	9q
AK2	1p35.1	1p
AK2P1	1p32.1	1p
AK2P2	2p22.3	2p
AK3	9p24.1	9p
AK3P2	8q24.3	8q
AK3P3	7p15.3	7p
AK3P4	5q22.3	5q
AK3P5	10p11.22	10p
AK3P6	12q24.33	12q
AK4	1p31.3	1p
AK4P1	17q11.2	17q
AK4P2	5q11.2	5q
AK4P3	12p11.21	12p
AK4P4	9p24.1	9p
AK4P5	6q14.1	6q
AK4P6	4q31.3	4q
AK5	1p31.1	1p
AK6	5q13.2	5q
AK6P1	12p11.1	12p
AK6P2	12q12	12q
AK7	14q32.2	14q
AK8	9q34.13	9q
AK9	6q21	6q
AKAIN1	18p11.31	18p
AKAP1	17q22	17q
AKAP2	9q31.3	9q
AKAP3	12p13.32	12p
AKAP5	14q23.3	14q
AKAP6	14q12	14q
AKAP7	6q23.2	6q
AKAP8	19p13.12	19p
AKAP8L	19p13.12	19p
AKAP8P1	9p23	9p
AKAP9	7q21.2	7q
AKAP10	17p11.2	17p
AKAP11	13q14.11	13q
AKAP11-IT1	13q14.11	13q
AKAP12	6q25.1	6q
AKAP13	15q25.3	15q
AKD2	6q21	6q
AKIP1	11p15.4	11p
AKIRIN1	1p34.3	1p
AKIRIN1P1	12q21.31	12q
AKIRIN2	6q15	6q
AKIRIN2-AS1	6q15	6q
AKIRIN2P1	4q31.23	4q
AKNA	9q32	9q
AKNAD1	1p13.3	1p
AKR1A1	1p34.1	1p
AKR1B1	7q33	7q
AKR1B1P1	1q42.12	1q
AKR1B1P2	3p12.3	3p
AKR1B1P3	11p15.2	11p
AKR1B1P4	13q14.13	13q
AKR1B1P5	14q23.1	14q
AKR1B1P6	18p11.22	18p
AKR1B1P7	19q13.11	19q
AKR1B10	7q33	7q
AKR1B10P1	10q21.3	10q
AKR1B10P2	18q22.1	18q
AKR1B15	7q33	7q
AKR1C1	10p15.1	10p
AKR1C2	10p15.1	10p
AKR1C3	10p15.1	10p
AKR1C4	10p15.1	10p
AKR1C5P	10p15.1	10p
AKR1C6P	10p15.1	10p
AKR1C7P	10p15.1	10p
AKR1C8P	10p15.1	10p
AKR1D1	7q33	7q
AKR1D1P1	1q24.2	1q
AKR1E2	10p15.1	10p
AKR7A2	1p36.13	1p
AKR7A2P1	1p13.2	1p
AKR7A3	1p36.13	1p
AKR7L	1p36.13	1p
AKT1	14q32.33	14q
AKT1S1	19q13.33	19q
AKT2	19q13.2	19q
AKT3	1q43-q44	1q
AKT3-IT1	1q44	1q
AKTIP	16q12.2	16q
ALAD	9q32	9q
ALAS1	3p21.2	3p
ALB	4q13.3	4q
ALCAM	3q13.11	3q
ALDH1A1	9q21.13	9q
ALDH1A2	15q21.3	15q
ALDH1A3	15q26.3	15q
ALDH1B1	9p13.1	9p
ALDH1L1	3q21.3	3q
ALDH1L1-AS1	3q21.3	3q
ALDH1L1-AS2	3q21.3	3q
ALDH1L2	12q23.3	12q
ALDH2	12q24.12	12q
ALDH3A1	17p11.2	17p
ALDH3A2	17p11.2	17p
ALDH3B1	11q13.2	11q
ALDH3B2	11q13.2	11q
ALDH4A1	1p36.13	1p
ALDH5A1	6p22.3	6p
ALDH6A1	14q24.3	14q
ALDH7A1	5q23.2	5q
ALDH7A1P1	5q13.3	5q
ALDH7A1P2	2q31.1	2q
ALDH7A1P3	7q36.1	7q
ALDH7A1P4	10q21.2	10q
ALDH8A1	6q23.3	6q
ALDH9A1	1q24.1	1q
ALDH16A1	19q13.33	19q
ALDH18A1	10q24.1	10q
ALDOA	16p11.2	16p
ALDOAP1	3p21.2	3p
ALDOAP2	10q26.13	10q
ALDOB	9q31.1	9q
ALDOC	17q11.2	17q
ALDRL2	9q22	9q
ALFN1	12q24	12q
ALG1	16p13.3	16p
ALG1L	3q21.2	3q
ALG1L2	3q22.1	3q
ALG1L3P	4p16.1	4p
ALG1L5P	7p22.1	7p
ALG1L6P	3p12.3	3p
ALG1L7P	4p16.3	4p
ALG1L8P	11q13.2	11q
ALG1L9P	11q13.4	11q
ALG1L10P	12p13.31	12p
ALG1L11P	8p23.1	8p
ALG1L12P	8p23.1	8p
ALG1L13P	8p23.1	8p
ALG1L14P	4p16.1	4p
ALG1L15P	3q25.31	3q
ALG2	9q22.33	9q
ALG3	3q27.1	3q
ALG3P1	5p15.32	5p
ALG5	13q13.3	13q
ALG6	1p31.3	1p
ALG8	11q14.1	11q
ALG9	11q23.1	11q
ALG9-IT1	11q23.1	11q
ALG10	12p11.1	12p
ALG10B	12q12	12q
ALG11	13q14.3	13q
ALG12	22q13.33	22q
ALG14	1p21.3	1p
ALG14-AS1	1p21.3	1p
ALK	2p23.2-p23.1	2p
ALKAL1	8q11.23	8q
ALKAL2	2p25.3	2p
ALKBH1	14q24.3	14q
ALKBH2	12q24.11	12q
ALKBH3	11p11.2	11p
ALKBH3-AS1	11p11.2	11p
ALKBH4	7q22.1	7q
ALKBH5	17p11.2	17p
ALKBH6	19q13.12	19q
ALKBH7	19p13.3	19p
ALKBH8	11q22.3	11q
ALLC	2p25.3	2p
ALMS1	2p13.1	2p
ALMS1-IT1	2p13.1	2p
ALMS1P1	2p13.1	2p
ALOX5	10q11.21	10q
ALOX5AP	13q12.3	13q
ALOX12	17p13.1	17p
ALOX12-AS1	17p13.1	17p
ALOX12B	17p13.1	17p
ALOX12P1	17q11.2	17q
ALOX12P2	17p13.1	17p
ALOX15	17p13.2	17p
ALOX15B	17p13.1	17p
ALOX15P1	17p13.1	17p
ALOX15P2	9q22.31	9q
ALOXE3	17p13.1	17p
ALOXE3P1	17p13.1	17p
ALPG	2q37.1	2q
ALPI	2q37.1	2q
ALPK1	4q25	4q
ALPK2	18q21.31-q21.32	18q
ALPK3	15q25.3	15q
ALPL	1p36.12	1p
ALPP	2q37.1	2q
ALPPP	2q37.1	2q
ALS2	2q33.1	2q
ALS2CL	3p21.31	3p
ALS2CR1	2q33-q34	2q
ALS2CR6	2q33	2q
ALS2CR14	2q33	2q
ALS2CR16	2q33.2	2q
ALS2CR17	2q33.2	2q
ALS2CR18	2q33	2q
ALS3	18q21	18q
ALS5	15q15.1-q21.1	15q
ALS6	16q12	16q
